Company,CIQ Ticker,Insider,Public Float,Institution,Institution,Institution,Institution,Institution,Institution,Institution,Institution,Institution,Institution,Institution,Institution,Institution,Institution,Strategic,Strategic,Strategic,Strategic,Strategic,Strategic,Strategic,Strategic
SP_COMPANY_NAME,ciqticker,SHARES_OWNED_INSIDERS,SP_NO_FLOAT_SHARES,SHARES_OWNED_INSTN_BANKS/INVEST_BANKS,SHARES_OWNED_INSTN_CHARITABLE_FOUNDATIONS,SHARES_OWNED_INSTN_CORP_PENSION_SPONSORS,SHARES_OWNED_INSTN_EDUCATIONAL/CULTURAL_ENDOWMENTS,SHARES_OWNED_INSTN_FAMILY_OFFICES/TRUSTS,SHARES_OWNED_INSTN_GOVT_PENSION_SPONSORS,SHARES_OWNED_INSTN_INSURANCE_COMPANIES,SHARES_OWNED_INSTN_INVEST_MGRS,SHARES_OWNED_INSTN_REIT,SHARES_OWNED_INSTN_UNCLASSIFIED,SHARES_OWNED_INSTN_UNION_PENSION_SPONSORS,SHARES_OWNED_INSTN_HEDGE_FUND_MGRS_LESS5PCT_STAKE,SHARES_OWNED_INSTN_SOVEREIGN_WEALTH_FUNDS_LESS5PCT_STAKE,SHARES_OWNED_INSTN_VC/PE_FIRMS_LESS5PCT_STAKE,SHARES_OWNED_STRATEGIC_HEDGE_FUND_MGRS_MORE_EQUAL5SHARES_STAKE,SHARES_OWNED_STRATEGIC_VC/PE_FIRMS_MORE_EQUAL5SHARES_STAKE,SHARES_OWNED_STRATEGIC_SOVEREIGN_WEALTH_FUNDS_MORE_EQUAL5SHARES_STAKE,SHARES_OWNED_STRATEGIC_COMPANY_CONTROLLED_FOUNDATIONS,SHARES_OWNED_STRATEGIC_ESOP,SHARES_OWNED_STRATEGIC_STATE_OWNER,SHARES_OWNED_STRATEGIC_CORPORATIONS_PRIVATE,SHARES_OWNED_STRATEGIC_CORPORATIONS_PUBLIC
Alembic Pharmaceuticals Limited,NSEI:APLLTD,"10,669,353","58,243,804","120,564",NA,NA,NA,NA,NA,"2,561,845","33,856,875","250,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1,464,333","126,184,779",855
SIS Limited,NSEI:SIS,"104,703,794","36,183,630","3,033,917",NA,NA,NA,NA,NA,NA,"15,964,283",NA,NA,NA,NA,"1,994,191","4,991,454",NA,NA,NA,NA,NA,"7,318","3,205,648",NA
Mold-Tek Packaging Limited,BSE:533080,"12,031,600","20,770,963",NA,NA,NA,NA,NA,NA,"360,866","9,093,066",NA,NA,NA,"1,599,202",NA,"778,812",NA,NA,NA,NA,NA,"260,704",NA,"165,647"
Business Online Public Company Limited,SET:BOL,"366,274,800","179,290,100",NA,NA,NA,NA,NA,NA,NA,"59,303,814",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"274,940,600"
"Cosmax, Inc.",KOSE:A192820,"46,774","8,302,361","224,190",NA,NA,NA,NA,"1,515,658",NA,"2,116,889",NA,NA,NA,"29,869",NA,86,NA,NA,NA,NA,"63,040",NA,NA,"2,933,487"
"Anhui Kouzi Distillery Co., Ltd.",SHSE:603589,"258,439,821","338,425,965","681,251",NA,NA,NA,NA,NA,NA,"99,695,966",NA,NA,NA,"2,700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saigon Thuong Tin Commercial Joint Stock Bank,HOSE:STB,"63,187,542","1,819,028,174","25,300,000",NA,NA,NA,NA,NA,NA,"251,236,033",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3,000,000",NA
China Yongda Automobiles Services Holdings Limited,SEHK:3669,"632,853,500","1,294,719,513","46,253,107",NA,NA,NA,NA,NA,NA,"641,203,417",NA,NA,NA,"1,689,679",NA,"13,001",NA,NA,NA,NA,NA,NA,NA,NA
Man Wah Holdings Limited,SEHK:1999,"2,424,921,600","1,452,616,000","73,330,509",NA,NA,NA,NA,"344,800",NA,"482,777,638",NA,NA,NA,"1,529,200",NA,"57,200",NA,NA,NA,NA,NA,NA,NA,NA
PT Bank Jago Tbk,IDX:ARTO,"46,646,331","3,837,036,051","19,292,882",NA,NA,NA,NA,NA,NA,"100,750,544",NA,NA,NA,"231,000",NA,NA,NA,NA,"1,257,535,118",NA,NA,NA,"5,749,287,500","2,965,745,000"
