ciqticker,SP_COMPANY_NAME,ownership_score,insider_activity_score,final_score
BSE:532163,Saregama India Limited,1.1042151315066366,7.6453517987551445,4.449452905079624
HOSE:MSB,Vietnam Maritime Commercial Joint Stock Bank,1.1188239734168852,7.630170022380082,4.449140071694297
HOSE:BMP,Binh Minh Plastics Joint Stock Company,1.0978761495502014,7.648755645762297,4.447850264186181
BSE:504067,Zensar Technologies Limited,1.0970974838753949,7.648475395985765,4.447272075709557
IDX:MAPA,PT Map Aktif Adiperkasa Tbk,1.0423977707429255,7.7025367797898525,4.446923535454056
SEHK:1970,"IMAX China Holding, Inc.",1.092214349836563,7.652585669315906,4.446850078698146
SEHK:10,Hang Lung Group Limited,1.0832157525520192,7.64950559124533,4.440254886518835
NSEI:ACCELYA,Accelya Solutions India Limited,1.08390069784444,7.648521369732582,4.440091475869098
NSEI:HOMEFIRST,Home First Finance Company India Limited,1.0833743635772302,7.648769950724801,4.439939817167034
IDX:ANTM,PT Aneka Tambang Tbk,1.0815315932677578,7.64877008052081,4.438933699530259
PSE:AGI,"Alliance Global Group, Inc.",1.0786921051697211,7.64876220911388,4.437378985740317
SEHK:6808,Sun Art Retail Group Limited,1.078222911412985,7.64877008052081,4.437127094745307
PSE:TEL,PLDT Inc.,1.0763831444562713,7.648183367942396,4.435802189622615
PSE:CEB,"Cebu Air, Inc.",1.069622589992412,7.653381352028579,4.434948995739058
PSE:AC,Ayala Corporation,1.0723435358943596,7.64785570079898,4.4334175719613365
PSE:WLCON,"Wilcon Depot, Inc.",1.0705896660475454,7.648984243937655,4.433076131389935
IDX:HRTA,PT Hartadinata Abadi Tbk,1.0570525853178367,7.660624782786581,4.432040582555967
IDX:SILO,PT Siloam International Hospitals Tbk,1.0471694424220896,7.666304367757755,4.429745357994138
SET:TRUE,True Corporation Public Company Limited,1.0062705513164447,7.704770828717573,4.428417203722017
SEHK:1888,Kingboard Laminates Holdings Limited,1.0614573696254743,7.64877008052081,4.427972782138335
BSE:500101,Arvind Limited,1.0578776963658818,7.649895703249258,4.426632822714408
IDX:BBTN,PT Bank Tabungan Negara (Persero) Tbk,1.0155277139577008,7.69182598706819,4.426403659103988
IDX:SSIA,PT Surya Semesta Internusa Tbk,1.0284954570485385,7.677893853509331,4.425877083110718
KLSE:INNATURE,InNature Berhad,1.0550847216396086,7.6510775651467515,4.425753123706368
SET:PRM,Prima Marine Public Company Limited,1.0550604093359282,7.64877008052081,4.424479917131818
HOSE:GMD,Gemadept Corporation,1.0561043027395367,7.646588797997775,4.423858880502823
TWSE:6239,Powertech Technology Inc.,1.0503992321665419,7.647297616893883,4.421130829701184
IDX:BRIS,PT Bank Syariah Indonesia Tbk,1.0080270612914612,7.689365657544984,4.420964768670838
HOSE:VNM,Vietnam Dairy Products Joint Stock Company,1.0475993367165741,7.648697083244669,4.420366168116113
PSE:BPI,Bank of the Philippine Islands,1.0445955244400493,7.648786632396468,4.418774923645708
PSE:GTCAP,"GT Capital Holdings, Inc.",1.0423434715252495,7.647866931038218,4.417043083989347
IDX:ERAA,PT Erajaya Swasembada Tbk,1.032671006270244,7.65549755194774,4.4159281971774424
IDX:ARTO,PT Bank Jago Tbk,1.0383821312581634,7.64877008052081,4.415373252211296
PSE:RLC,Robinsons Land Corporation,1.0475993339242196,7.638112374367324,4.41458670922912
SEHK:3899,CIMC Enric Holdings Limited,1.028373324892957,7.656521788128258,4.414140832294588
